id,Film,directors,writers
2,Zack and Miri Make a Porno,Kevin Smith,Kevin Smith
3,Youth in Revolt,Michael Cera,Gustin Nash
4,You Will Meet a Tall Dark Stranger,Woody Allen,Woody Allen
5,When in Rome,Mark Steven Johnson,David Diamond
6,What Happens in Vegas,Tom Vaughan,Dana Fox
7,Water For Elephants,Francis Lawrence,Richard LaGravenese
8,WALL-E,Andrew Stanton,Andrew Stanton
9,Waitress,Adrienne Shelly,Adrienne Shelly
10,Waiting For Forever,James Keach,Steve Adams
11,Valentine's Day,Garry Marshall,Katherine Fugate
12,Tyler Perry's Why Did I get Married,Tyler Perry,Tyler Perry
13,Twilight: Breaking Dawn,Bill Condon,Melissa Rosenberg
14,Twilight,Catherine Hardwicke,Melissa Rosenberg
15,The Ugly Truth,Robert Luketic,Nicole Eastman
16,The Twilight Saga: New Moon,Chris Weitz,Melissa Rosenberg
17,The Time Traveler's Wife,Robert Schwentke,Bruce Joel Rubin
18,The Proposal,Anne Fletcher,Peter Chiarelli
19,The Invention of Lying,Ricky Gervais,Ricky Gervais
20,The Heartbreak Kid,Bobby Farrelly,Leslie Dixon
21,The Duchess,Saul Dibb,Jeffrey Hatcher
22,The Curious Case of Benjamin Button,David Fincher,Eric Roth
23,The Back-up Plan,Alan Poul,Leslie Dixon
24,Tangled,Nathan Greno,Dan Fogelman
25,Something Borrowed,Luke Greenfield,Jennie Snyder
26,She's Out of My League,Jim Field Smith,Sean Anders
27,Sex and the City Two,Michael Patrick King,Michael Patrick King
28,Sex and the City 2,Michael Patrick King,Michael Patrick King
29,Sex and the City,Michael Patrick King,Michael Patrick King
30,Remember Me,Allen Coulter,Will Fetters
31,Rachel Getting Married,Jonathan Demme,Jenny Lumet
32,Penelope,Mark Palansky,Leslie Caveny
33,P.S. I Love You,Richard LaGravenese,Steven Rogers
34,Over Her Dead Body,Jeff Lowell,Jeff Lowell
35,Our Family Wedding,Rick Famuyiwa,Wayne Conley
36,One Day,Lone Scherfig,David Nicholls
37,Not Easily Broken,Bill Duke,T.D. Jakes
38,No Reservations,Scott Hicks,Carol Fuchs
39,Nick and Norah's Infinite Playlist,Peter Sollett,Lorene Scafaria
40,New Year's Eve,Garry Marshall,Katherine Fugate
41,My Week with Marilyn,Simon Curtis,Adrian Hodges
42,Music and Lyrics,Marc Lawrence,Marc Lawrence
43,Monte Carlo,Thomas Bezucha,April Blair
44,Miss Pettigrew Lives for a Day,Bharat Nalluri,David Magee
45,Midnight in Paris,Woody Allen,Woody Allen
46,Marley and Me,David Frankel,Scott Frank
47,Mamma Mia!,Phyllida Lloyd,Catherine Johnson
48,Made of Honor,Paul Weiland,Adam Sztykiel
49,Love Happens,Brandon Camp,Brandon Camp
50,Love & Other Drugs,Edward Zwick,Charles Randolph
51,Life as We Know It,Greg Berlanti,Ian Deitchman
52,License to Wed,Ken Kwapis,Kim Barker
53,Letters to Juliet,Gary Winick,Jose Rivera
54,Leap Year,Anand Tucker,Deborah Kaplan
55,Knocked Up,Judd Apatow,Judd Apatow
56,Killers,Robert Luketic,Bob DeRosa
57,Just Wright,Sanaa Hamri,Michael Elliot
58,Jane Eyre,Cary Fukunaga,Moira Buffini
59,It's Complicated,Nancy Meyers,Nancy Meyers
60,I Love You Phillip Morris,Glenn Ficarra,John Requa
61,High School Musical 3: Senior Year,Kenny Ortega,Peter Barsocchini
62,He's Just Not That Into You,Ken Kwapis,Abby Kohn
63,Good Luck Chuck,Mark Helfrich,Josh Stolberg
64,Going the Distance,Nanette Burstein,Geoff LaTulippe
65,Gnomeo and Juliet,Kelly Asbury,Emily Cook
66,Ghosts of Girlfriends Past,Mark Waters,Jon Lucas
67,Four Christmases,Seth Gordon,Jon Lucas
68,Fireproof,Alex Kendrick,Stephen Kendrick
69,Enchanted,Kevin Lima,Bill Kelly
70,Dear John,Lasse Hallström,Jamie Linden
71,Beginners,Mike Mills,Mike Mills
72,Across the Universe,Julie Taymor,Julie Taymor
73,A Serious Man,Joel Coen,Joel Coen
74,A Dangerous Method,David Cronenberg,Christopher Hampton
75,27 Dresses,Anne Fletcher,Aline Brosh McKenna
76,(500) Days of Summer,Marc Webb,Scott Neustadter
